id;comment;created_at;modified_at;is_deleted
1;payment Hawaii Health;2021-08-25T09:50:51;2021-08-26T02:27:37;true
2;Senior Refined fault-tolerant;2021-08-25T12:07:08;2021-08-25T13:34:19;false
3;Operations Delaware South;2021-08-25T19:46:57;2021-08-25T14:07:14;false
4;Metrics;2021-08-25T18:02:44;2021-08-26T02:24:34;true
5;synthesize;2021-08-25T13:38:36;2021-08-25T20:09:06;true
6;bricks-and-clicks;2021-08-25T11:19:04;2021-08-25T20:11:18;true
7;Knoll PCI lime;2021-08-25T22:05:48;2021-08-25T22:51:57;false
8;Garden;2021-08-25T10:13:06;2021-08-25T07:29:12;true
9;primary ADP Zloty;2021-08-25T07:11:48;2021-08-25T19:01:41;true
10;Mississippi;2021-08-26T05:28:05;2021-08-25T15:13:42;false
